4x4	m	4x4
abaca	m	abacas
abacule	m	abacules
abaisse	f	abaisses
abaisse-langue	m	abaisse-langue
abaissement	m	abaissements
abaisseur	m	abaisseurs
abaissée	f	abaissées
abajoue	f	abajoues
abalourdissement	m	abalourdissements
abandon	m	abandons
abandonnement	m	abandonnements
abandonné	m	abandonnés
abandonnée	f	abandonnées
abaque	m	abaques
abasourdissement	m	abasourdissements
abat	m	abats
abat-foin	m	abat-foin
abat-jour	m	abat-jour
abat-vent	m	abat-vent
abat-voix	m	abat-voix
abatage	m	abatages
abatant	m	abatants
abattage	m	abattages
abattant	m	abattants
abattement	m	abattements
abatteur	m	abatteurs
abattis	m	abattis
abattoir	m	abattoirs
abattu	m	abattus
abatture	f	abattures
abattée	f	abattées
abatée	f	abatées
abbatiale	f	abbatiales
abbattage	m	abbattages
abbattement	m	abbattements
abbaye	f	abbayes
abbesse	f	abbesses
abbevillien	m	abbevilliens
abbevillienne	f	abbevilliennes
abbé	m	abbés
abcès	m	abcès
abcédation	f	abcédations
abdication	f	abdications
abdomen	m	abdomens
abducteur	m	abducteurs
abduction	f	abductions
abecquement	m	abecquements
abeille	f	abeilles
aber	m	abers
aberrance	f	aberrances
aberration	f	aberrations
abhorration	f	abhorrations
abiétinée	f	abiétinées
abjection	f	abjections
abjuration	f	abjurations
ablatif	m	ablatifs
ablation	f	ablations
able	m	ables
ableret	m	ablerets
ablette	f	ablettes
ablier	m	abliers
ablocage	m	ablocages
ablution	f	ablutions
ablégat	m	ablégats
abnégation	f	abnégations
aboi	m	abois
aboiement	m	aboiements
abolissement	m	abolissements
abolition	f	abolitions
abolitionnisme	m	abolitionnismes
abomination	f	abominations
abondement	m	abondements
abonnage	m	abonnages
abonnement	m	abonnements
abonnissement	m	abonnissements
abonné	m	abonnés
abonnée	f	abonnées
abord	m	abords
abordage	m	abordages
abordement	m	abordements
abornage	m	abornages
abornement	m	abornements
abortif	m	abortifs
abot	m	abots
abouchage	m	abouchages
abouchement	m	abouchements
aboulie	f	aboulies
about	m	abouts
aboutage	m	aboutages
aboutement	m	aboutements
aboutissement	m	aboutissements
aboyeur	m	aboyeurs
aboyeuse	f	aboyeuses
abrasage	m	abrasages
abrasement	m	abrasements
abrasif	m	abrasifs
abrasion	f	abrasions
abreuvage	m	abreuvages
abreuvement	m	abreuvements
abreuvoir	m	abreuvoirs
abri	m	abris
abri-sous-roche	m	abris-sous-roche
abricot	m	abricots
abricotier	m	abricotiers
abricoté	m	abricotés
abritement	m	abritements
abrivent	m	abrivents
abrogation	f	abrogations
abroutissement	m	abroutissements
abrupt	m	abrupts
abruti	m	abrutis
abrutie	f	abruties
abrutissement	m	abrutissements
abrègement	m	abrègements
abréaction	f	abréactions
abrégement	m	abrégements
abrégé	m	abrégés
abréviation	f	abréviations
abscisse	f	abscisses
absconse	f	absconses
absence	f	absences
absent	m	absents
absente	f	absentes
absentéisme	m	absentéismes
abside	f	absides
absidiole	f	absidioles
absinthage	m	absinthages
absinthe	f	absinthes
absinthisme	m	absinthismes
absolu	m	absolus
absolue	f	absolues
absolution	f	absolutions
absolutisation	f	absolutisations
absolutisme	m	absolutismes
absorbant	m	absorbants
absorbation	f	absorbations
absorbeur	m	absorbeurs
absorption	f	absorptions
absorptivité	f	absorptivités
absoute	f	absoutes
abstention	f	abstentions
abstentionnisme	m	abstentionnismes
abstersion	f	abstersions
abstinence	f	abstinences
abstinent	m	abstinents
abstinente	f	abstinentes
abstraction	f	abstractions
abstractionnisme	m	abstractionnismes
abstrait	m	abstraits
absurde	m	absurdes
absurdité	f	absurdités
abu	m	abu
abus	m	abus
abusement	m	abusements
abuseur	m	abuseurs
abuseuse	f	abuseuses
abyme	m	abymes
abysse	m	abysses
abyssin	m	abyssins
abyssine	f	abyssines
abyssinien	m	abyssiniens
